Wikipédia:AbuseFilter	NA	(?:\bW(?:ikipédia:AbuseFilter|P:F(?:AA)?)\b)
Wikipédia:Actions administratives (WMF)	NA	(?:\bWikipédia:Actions administratives \b)
Wikipédia:Administrateur	NA	(?:\bW(?:ikipédia:Administrateur|P:(?:ADMIN|SYSOP))\b)
Utilisateur:Baldurar/Brouillon portail	NA	(?:\b(?:Utilisateur:Baldurar/Brouillon portail|WP:B[Dd]P)\b)
Wikipédia:Bureaucrate	NA	(?:\bW(?:ikipédia:Bureaucrate|P:BUBU)\b)
Wikipédia:Citation	NA	(?:\bW(?:ikipédia:Citation|P:CTT)\b)
Wikipédia:Contestation du statut d'administrateur	NA	(?:\bW(?:ikipédia:Contestation du statut d'administrateur|P:CSA)\b)
Wikipédia:Contestation du statut de bureaucrate	NA	(?:\bW(?:ikipédia:Contestation du statut de bureaucrate|P:CSB)\b)
Aide:Contributions rémunérées	NA	(?:\b(?:Aide:Contributions rémunérées|WP:(?:AVANTAGE|REMUN))\b)
Wikipédia:Conventions d'utilisation des images	NA	(?:\bW(?:ikipédia:Conventions d'utilisation des images|P:RUI)\b)
Wikipédia:Conventions sur les catégories	NA	(?:\bW(?:ikipédia:Conventions sur les catégories|P:(?:C(?:AT|C)|OVERCAT))\b)
Wikipédia:Exceptions au droit d'auteur	NA	(?:\bW(?:ikipédia:Exceptions au droit d'auteur|P:(?:EDP|PDE|FU))\b)
Wikipédia:Liens vers les portails	NA	(?:\bW(?:ikipédia:Liens vers les portails|P:B[Dd]P)\b)
Wikipédia:Masqueur de modifications	NA	(?:\bW(?:ikipédia:Masqueur de modifications|P:OS)\b)
Wikipédia:Restriction thématique	NA	(?:\bW(?:ikipédia:Restriction thématique|P:(?:T(?:OPIC)?BAN|REST))\b)
Wikipédia:Révocateur	NA	(?:\bW(?:ikipédia:Révocateur|P:ROLLBACK)\b)
Wikipédia:Semi-protection	NA	(?:\bW(?:ikipédia:Semi-protection|P:S-P)\b)
Wikipédia:Transcription du japonais	NA	(?:\bW(?:ikipédia:Transcription du japonais|P:TJ)\b)
Wikipédia:Travaux inédits	NA	(?:\bW(?:ikipédia:Travaux inédits|P:(?:SYN|TI))\b)
Wikipédia:Utilisation de données Wikidata dans les articles	NA	(?:\bW(?:ikipédia:Utilisation de données Wikidata dans les articles|P:UWD(?:COH)?)\b)
Wikipédia:Vérifiabilité	NA	(?:\bW(?:ikipédia:Vérifiabilit|P:V(?:ER)?)\b)
Wikipédia:Principes fondateurs	NA	(?:\bW(?:ikipédia:Principes fondateurs|P:PF)\b)
Wikipédia:Règles de savoir-vivre	NA	(?:\bW(?:ikipédia:Règles de savoir-vivre|P:(?:R(?:dSV?|SV)|4e PF))\b)
Wikipédia:Interprétation créative des règles	NA	(?:\bW(?:ikipédia:Interprétation créative des règles|P:(?:I[AC]R|5e PF))\b)
Wikipédia:Droit d'auteur	NA	(?:\bW(?:P:(?:C(?:OPY(?:RIGHT)?|R)|3e PF)|ikipédia:Droit d'auteur)\b)
Wikipédia:Neutralité de point de vue	NA	(?:\bW(?:P:(?:(?:STRUCTUR|UNDU)E|N(?:P[Od]|dP)V|POV(?:NAMING)?)|ikipédia:Neutralité de point de vue)\b)
Wikipédia:Wikipédia est une encyclopédie	NA	(?:\bW(?:ikipédia:Wikipédia est une encyclopédie|P:(?:1er PF|P))\b)
